year,month,area,head_total
2005,1,"H004",1
2005,1,"M19A",2
2005,1,"M19B",22
2005,1,"P013",2
2005,1,"P016",1
2005,1,"P017",1
2005,1,"P018",1
2005,1,"P020",26
2005,2,"H004",4
2005,2,"M19A",3
2005,2,"M19B",14
2005,2,"P013",1
2005,2,"P016",1
2005,2,"P017",3
2005,2,"P018",8
2005,2,"P020",19
2005,2,"P028",3
2005,3,"H004",1
2005,3,"H02E",1
2005,3,"M19A",1
2005,3,"M19B",14
2005,3,"P016",1
2005,3,"P017",1
2005,3,"P018",4
2005,3,"P020",1
2005,3,"P028",2
2005,4,"H004",1
2005,4,"M19B",5
2005,4,"M23B",6
2005,4,"P013",1
2005,4,"P014",1
2005,4,"P015",2
2005,4,"P016",1
2005,4,"P018",3
2005,4,"P020",5
2005,4,"P028",1
2005,4,"P29M",2
2005,5,"H001",67
2005,5,"H003",1
2005,5,"H004",8
2005,5,"H006",3
2005,5,"H02W",17
2005,5,"H23B",1
2005,5,"M19B",12
2005,5,"M23B",18
2005,5,"P012",2
2005,5,"P013",4
2005,5,"P014",2
2005,5,"P015",1
2005,5,"P016",2
2005,5,"P017",2
2005,5,"P018",5
2005,5,"P020",4
2005,5,"P024",4
2005,5,"P025",4
2005,5,"P028",1
2005,5,"P123",2
2005,5,"P124",8
2005,5,"P127",1
2005,6,"H001",101
2005,6,"H003",1
2005,6,"H004",20
2005,6,"H006",26
2005,6,"H007",1
2005,6,"H009",5
2005,6,"H024",2
2005,6,"H025",1
2005,6,"H027",6
2005,6,"H02W",30
2005,6,"H23B",3
2005,6,"M19B",8
2005,6,"M23A",3
2005,6,"M23B",85
2005,6,"P011",1
2005,6,"P012",15
2005,6,"P013",17
2005,6,"P014",3
2005,6,"P015",2
2005,6,"P017",9
2005,6,"P018",2
2005,6,"P020",37
2005,6,"P021",3
2005,6,"P024",4
2005,6,"P025",8
2005,6,"P026",2
2005,6,"P027",2
2005,6,"P028",2
2005,6,"P121",1
2005,6,"P123",75
2005,6,"P124",32
2005,6,"P125",4
2005,6,"P127",11
2005,6,"P29M",1
2005,7,"H001",40
2005,7,"H004",5
2005,7,"H006",10
2005,7,"H007",33
2005,7,"H008",6
2005,7,"H009",25
2005,7,"H010",1
2005,7,"H011",1
2005,7,"H024",1
2005,7,"H025",2
2005,7,"H027",1
2005,7,"H02W",7
2005,7,"H23B",3
2005,7,"M19B",12
2005,7,"M23A",17
2005,7,"M23B",84
2005,7,"P012",50
2005,7,"P013",21
2005,7,"P014",6
2005,7,"P017",13
2005,7,"P018",2
2005,7,"P020",66
2005,7,"P022",2
2005,7,"P024",6
2005,7,"P025",71
2005,7,"P026",1
2005,7,"P027",9
2005,7,"P028",2
2005,7,"P121",28
2005,7,"P123",149
2005,7,"P124",12
2005,7,"P125",8
2005,7,"P126",2
2005,7,"P127",16
2005,7,"P29M",1
2005,8,"H001",45
2005,8,"H007",33
2005,8,"H008",12
2005,8,"H009",24
2005,8,"H010",1
2005,8,"H011",2
2005,8,"H024",1
2005,8,"H027",5
2005,8,"H02W",15
2005,8,"H23B",11
2005,8,"M19B",9
2005,8,"M23A",64
2005,8,"M23B",51
2005,8,"P010",1
2005,8,"P012",34
2005,8,"P013",35
2005,8,"P014",6
2005,8,"P017",2
2005,8,"P018",1
2005,8,"P020",156
2005,8,"P021",5
2005,8,"P024",1
2005,8,"P025",54
2005,8,"P027",9
2005,8,"P028",2
2005,8,"P121",26
2005,8,"P123",219
2005,8,"P124",15
2005,8,"P125",44
2005,8,"P126",1
2005,8,"P127",15
2005,8,"P29M",2
2005,9,"H001",37
2005,9,"H008",1
2005,9,"H009",8
2005,9,"H02W",7
2005,9,"H23B",2
2005,9,"M19B",3
2005,9,"M23A",15
2005,9,"M23B",19
2005,9,"P012",9
2005,9,"P013",21
2005,9,"P014",5
2005,9,"P016",1
2005,9,"P018",1
2005,9,"P020",35
2005,9,"P021",1
2005,9,"P024",2
2005,9,"P025",9
2005,9,"P026",1
2005,9,"P027",1
2005,9,"P121",1
2005,9,"P123",77
2005,9,"P124",5
2005,9,"P125",2
2005,9,"P127",2
2005,10,"H006",1
2005,10,"H23B",1
2005,10,"P018",1
2005,10,"P020",6
2005,10,"P024",11
2005,10,"P028",1
2005,10,"P123",1
2005,10,"P124",2
2005,11,"H006",3
2005,11,"H024",3
2005,11,"M19B",18
2005,11,"P012",1
2005,11,"P013",13
2005,11,"P020",8
2005,11,"P024",8
2005,11,"P025",1
2005,11,"P028",1
2005,11,"P29M",2
2005,12,"H004",2
2005,12,"M19B",43
2005,12,"M23B",1
2005,12,"P013",1
2005,12,"P017",2
2005,12,"P018",1
2005,12,"P020",27
2005,12,"P123",11
2005,12,"P29M",1
2006,1,"M19B",26
2006,1,"P016",5
2006,1,"P017",3
2006,1,"P018",1
2006,2,"H004",1
2006,2,"M19B",12
2006,2,"P013",2
2006,2,"P014",1
2006,2,"P015",2
2006,2,"P016",1
2006,2,"P017",5
2006,2,"P018",3
2006,2,"P024",1
2006,2,"P028",1
2006,3,"H02W",1
2006,3,"M19B",11
2006,3,"M23B",5
2006,3,"P013",1
2006,3,"P018",7
2006,3,"P020",4
2006,3,"P028",2
2006,3,"P123",1
2006,4,"M054",1
2006,4,"M19B",10
2006,4,"M23B",18
2006,4,"P012",1
2006,4,"P013",2
2006,4,"P014",1
2006,4,"P016",2
2006,4,"P017",1
2006,4,"P018",13
2006,4,"P020",9
2006,4,"P024",1
2006,4,"P025",4
2006,4,"P027",1
2006,4,"P028",6
2006,4,"P123",4
2006,4,"P124",1
2006,4,"P127",1
2006,5,"H001",28
2006,5,"H004",2
2006,5,"H006",9
2006,5,"H010",1
2006,5,"H02W",9
2006,5,"M19B",16
2006,5,"M23B",12
2006,5,"P013",4
2006,5,"P014",1
2006,5,"P016",1
2006,5,"P017",3
2006,5,"P018",6
2006,5,"P020",13
2006,5,"P024",2
2006,5,"P027",5
2006,5,"P028",3
2006,5,"P123",28
2006,5,"P124",4
2006,5,"P29M",2
2006,6,"H001",51
2006,6,"H003",2
2006,6,"H004",3
2006,6,"H006",22
2006,6,"H007",2
2006,6,"H008",2
2006,6,"H011",1
2006,6,"H025",2
2006,6,"H027",3
2006,6,"H02W",24
2006,6,"M19B",14
2006,6,"M23A",4
2006,6,"M23B",109
2006,6,"P012",16
2006,6,"P013",19
2006,6,"P014",8
2006,6,"P016",1
2006,6,"P017",4
2006,6,"P018",2
2006,6,"P020",35
2006,6,"P024",15
2006,6,"P025",8
2006,6,"P027",25
2006,6,"P028",3
2006,6,"P123",162
2006,6,"P124",26
2006,6,"P125",7
2006,6,"P127",15
2006,6,"P29M",1
2006,7,"H001",28
2006,7,"H003",4
2006,7,"H004",1
2006,7,"H006",5
2006,7,"H007",29
2006,7,"H008",9
2006,7,"H009",16
2006,7,"H011",1
2006,7,"H024",3
2006,7,"H025",1
2006,7,"H027",8
2006,7,"H02W",67
2006,7,"H23B",11
2006,7,"M19B",61
2006,7,"M23B",69
2006,7,"P012",44
2006,7,"P013",24
2006,7,"P014",12
2006,7,"P015",6
2006,7,"P017",23
2006,7,"P018",6
2006,7,"P020",87
2006,7,"P024",11
2006,7,"P025",52
2006,7,"P026",1
2006,7,"P027",9
2006,7,"P028",2
2006,7,"P121",2
2006,7,"P123",233
2006,7,"P124",50
2006,7,"P125",50
2006,7,"P126",1
2006,7,"P127",28
2006,7,"P29M",1
2006,8,"H001",18
2006,8,"H003",2
2006,8,"H004",5
2006,8,"H007",15
2006,8,"H008",28
2006,8,"H009",60
2006,8,"H010",1
2006,8,"H011",3
2006,8,"H024",2
2006,8,"H026",1
2006,8,"H027",1
2006,8,"H02W",31
2006,8,"H23B",12
2006,8,"M19B",8
2006,8,"M23A",50
2006,8,"M23B",91
2006,8,"P001",1
